Locus_Name	Alias_Name	Description	Gene_Product	Phenotype	ORF_Name	SGDID
RAD23		ubiquitin-like protein	ubiquitin-like protein	radiation sensitive	YEL037C	S0000763
RAD24	RS1	checkpoint protein	cell cycle exonuclease (putative)	radiation sensitive	YER173W	S0000975
RAD26		May be involved in transcription-coupled DNA repair	DNA dependent ATPase|human Cockayne syndrome B gene ERCC6 homolog	Null mutant is viable, defective in transcription-coupled repair, and hypermutable following exposure to UV light and shows delayed recovered of growth after UV exposure; rad7 rad26 and rad16 rad26 double mutants show enhanced sensitivity to UV light	YJR035W	S0003796
RAD27	ERC11|RTH1	DNA repair protein that belongs to the RAD2(pombe)/FEN1 subfamily	42 kDa 5' to 3' exonuclease required for Okazaki fragment processing	Null mutant demonstrates temperature-sensitive growth and sensitivity to UV light and methylmethane sulfonate. rad27 mutant cells are defective in Okazaki fragment maturation.	YKL113C	S0001596
RAD28		Protein involved in the same pathway as Rad26p, has beta-transducin (WD-40) repeats		Null mutant is viable but is hypermutable following exposure to UV light and is slightly more sensitive to UV light in the presence of mutations in rad7 or rad16	YDR030C	S0002437
RAD29						L0004124
RAD3	REM1	DNA helicase component of transcription factor b (yeast homolog of human TFIIH)		Null mutant is inviable; rad3 mutants are radiation sensitive	YER171W	S0000973
RAD30	DBH1	Radiation sensitive. Replication fork is protected from inaccurate synthesis by Pol eta in the absence of DNA damage.	DNA polymerase eta	Null mutant shows increased sensitivity to UV (254 nm). Deletion of RAD30 did not affect spontaneous mutagenesis. Overproduction of Rad30p slightly mutagenic in wild-type yeast strain, moderately mutagenic in strains with inactive 3'->5'-exonuclease of DNA polymerase epsilon or DNA mismatch repair.	YDR419W	S0002827
RAD31						S0007656
RAD4		Nucleotide excision repair protein		Null mutant is viable and radiation sensitive	YER162C	S0000964
RAD5	REV2|SNM2	putative ATPase/DNA helicase	ATPase (putative)|DNA helicase (putative)	Radiation-sensitive. mgs1 exhibits a synergistic growth defect with rad5. mgs1 rad5 double mutant has increased sensitivity to hydroxyurea and a greatly increased spontaneous mutation rate.	YLR032W	S0004022
RAD50		coiled-coil protein, contains a purine-binding domain, two heptad repeats and a hydrophobic tail	Mre11-Rad50-Xrs2 protein complex member involved in joining double-stranded breaks and DNA recombination	Null mutant is viable but defective for X-ray damage repair, sporulation, chromosome pairing, formation and processing of DS breaks, gene conversion and reciprocal recombination in non-rDNA, tripartite synaptonemal complexes and heteroduplex DNA. Exhibits blocked meiotic recombination and formation of synaptonemal complex at early stages. rad50-1 or null is rescued by spo13 and rescues rad52 spo13.	YNL250W	S0005194
RAD51	MUT5	Involved in processing ds breaks, synaptonemal complex formation, meiotic gene conversion and reciprocal recombination.	Rad51p colocalizes to ~ 65 spots with Dmc1p prior to synapsis (independently of ZIP1 and DMC1), and interacts with Rad52p and Rad55p; human Rad51p homolog interacts with Brca2 protein which has been implicated in causing breast cancer|RecA homolog	Null mutant is viable; accumulates meiosis-specific double strand breaks at a recombination hotspot and reduces the formation of physical recombinants and processed double strand breaks with long heterogeneous tails; rad51 mutants are also defective for X-ray damage repair and gene conversions; rad51 rad27 mutants are inviable.	YER095W	S0000897
RAD52		Required for X-ray damage repair & various types of intra- and interchr. mitotic recombination, including HO switching & plasmid exchange. Disp. for premeiotic DNA synthesis, double strand breaks & heteroduplex formation.		Null mutant is viable, radiation sensitive; rad52 rad27 double mutants are inviable, double strand break ends are excessively recessed in mutant, rad52 is rescued by rad50 spo13, but not spo13, and is classified as late recombination gene. Growth defects of mgs1 rad18 double mutants are suppressed by overexpression of Rad52.	YML032C	S0004494
RAD53	LSD1|MEC2|SPK1	Required for DNA damage-induced checkpoint arest in G1, S/M, and G2/M in mitosis, dispensable for sporulation but required for wild-type spore viability; Mec1p and Tel1p regulate rad53p phosphorylation	protein kinase	Null mutant is inviable, radiation sensitive	YPL153C	S0006074
RAD54	XRS1	Required for X-ray damage repair, mitotic recombination, and full meiotic recombination. mRNA increases in meiosis.	DNA dependent ATPase	Null mutant is viable, radiation sensitive	YGL163C	S0003131
RAD55		Required for X-ray damage repair, full sporulation and viable spores	RecA homolog|interacts with Rad51p and Rad57p by two-hybrid analysis|similar to DMC1, RAD51, RAD57	Null mutant is viable, radiation sensitive, x-ray sensitive	YDR076W	S0002483
RAD56				radiation sensitive		L0001576
RAD57		Required for X-ray damage repair, meiotic recombination, wild-type levels of sporulation and viable spores	RecA homolog|interacts with Rad 55p by two-hybrid analysis|similar to DMC1, RAD51, and RAD55	Null mutant is viable, radiation sensitive	YDR004W	S0002411
RAD59		Involved in mitotic recombination	the RAD59 gene product has homology to the Rad52 protein	gamma-ray sensitivity, mitotic recombination defects. rad59 is epistatic to rad52 for its repair and recombination defects.	YDL059C	S0002217
RAD6	UBC2	Involved in DNA repair and sporulation. Rad6p interacts with Ubr1 and Rad18p. mRNA is induced early in meiosis and peaks at meiosis I.	ubiquitin-conjugating enzyme	Radiation sensitive. Defective for postreplication repair, repression of retrotransposition, meiotic gene conversion and sporulation. Mutations in srs2 suppress rad6 radiation-sensitivity but not the sporulation defect. rad6 forms recombination intermediates. mgs1 is synthetic lethal with rad6.	YGL058W	S0003026
RAD61		Affects radiation sensitivity		Null mutant is sensitive to ionizing radiation. Other phenotypes: Affects radiation sensitivity.	YDR014W	S0002421
RAD7		Nucleotide excision repair protein involved in G(sub)2 repair of inactive genes	nucleotide excision NEF4 component	radiation sensitive	YJR052W	S0003813
RAD9		Required for DNA damage-induced G2 arrest in mitosis, required for ionizing radation-induced G1 arrest, and other cdc13-induced G2 arrest in meiosis	cell cycle arrest protein	radiation sensitive	YDR217C	S0002625
RAF1		Involved in regulating gene expression	2-micron circle protein D			S0007507
RAH1		identified in a screen for suppressors of the osmosensitivity (but not temperature sensitivity) phenotype of act1-1				S0007540
RAH2		identified in a screen for suppressors of the osmosensitivity (but not temperature sensitivity) phenotype of act1-1 				S0007543
RAH3		identified in a screen for suppressors of the osmosensitivity (but not temperature sensitivity) phenotype of act1-1	possibly an actin binding protein			S0007544
RAI1		Product of gene unknown			YGL246C	S0003215
RAM1	DPR1|FUS8|SCG2|SGP2|STE16	essential for processing of ras proteins	farnesyltransferase beta subunit	Null mutant is viable, temperature-sensitive, a-specific sterile, exhibits defect in prenylation of ras proteins and other substrates	YDL090C	S0002248
RAM2		CAAX farnesyltransferase alpha subunit	CAAX farnesyltransferase alpha subunit	lethal	YKL019W	S0001502
RAP1	GRF1|TBA1|TUF1	DNA-binding protein involved in either activation or repression of transcription, depending on binding site context. Also binds telomere sequences and plays a role in telomeric position effect (silencing) and telomere structure.	repressor activator protein	null is inviable; some mutations abolish silencing (at telomeres and at the silent mating-type loci), other mutations or overproduction alter telomere length	YNL216W	S0005160
RAS1		ras proto-oncogene homolog	ras homolog		YOR101W	S0005627
RAS2	CTN5|CYR3|GLC5	Ras proto-oncogene homolog. Ras2 is involved in growth on non-fermentable carbon sources, the starvation response, sporulation, pseudohyphal growth and aging.	small GTP-binding protein	Loss of function mutants grow poorly on nonfermentable carbon sources, sporulate in rich media, are unable to differentiate into a pseudohyphal form and exhibit an increased life span.	YNL098C	S0005042
RAT1	HKE1|TAP1|XRN2	RNA trafficking protein; transcription activator	5'-3' exoribonuclease	Null mutant is inviable.	YOR048C	S0005574
RAT6						L0001585
RAV1		Regulator of (H+)-ATPase in vacuolar membrane			YJR033C	S0003794
RAV2		Regulator of (H+)-ATPase in Vacuolar membrane			YDR202C	S0002610
RAX1		A rax1 mutation converts the budding pattern of an axl1 null mutant from bipolar to axial.			YOR301W	S0005827
RAX2		Involved in the maintenance of bipolar pattern		Null mutant is defective in bipolar pattern	YLR084C	S0004074
RBH1		repressed by Hnt1				S0007561
RBK1		ribokinase	ribokinase		YCR036W	S0000632
RBL2		binds to beta-tubulin and may participate in microtubule morphogenesis	tubulin folding cofactor A	Overexpression rescues lethality caused by excess beta-tubulin	YOR265W	S0005791
RBS1		RNA-Binding Suppressor of PAS kinase	R3H-domain protein		YDL189W	S0002348
RCE1		Protease involved in ras and a-factor terminal proteolysis	protease	Null mutant is viable, has defects in Ras localization and signaling, and suppresses the activated phenotype of the RAS2val19 allele	YMR274C	S0004887
RCK1		Serine/threonine protein kinase		Null mutant is viable	YGL158W	S0003126
RCK2	CLK1|CMK3	Serine/threonine protein kinase		Null mutant is viable	YLR248W	S0004238
RCL1		protein similar to the RNA 3' terminal phosphate cyclase (RNA 3' terminal phosphate Cyclase-Like)		Null mutant is inviable.	YOL010W	S0005370
RCN1		Regulator of calcineurin	calcineurin inhibitor	Overexpression phenotype: decreased calcineurin function	YKL159C	S0001642
RCO1		Hypothetical ORF			YMR075W	S0004680
RCS1	AFT1	Involved in iron homeostasis and affects cell size regulation. Activates the expression of its target genes in response to low-iron conditions.	binds the consensus site PyPuCACCCPu	Null mutant is viable; mutant cells are larger than normal, since critical size for budding is increased; mutant shows incorrect regulation of expression of genes involved in iron uptake; spores from heterozygous diploid have reduced ability to germinate;	YGL071W	S0003039
RCY1		ReCYcling 1		Deletion leads to an early block in the endocytic pathway before the intersection with the vacuolar protein sorting pathway	YJL204C	S0003740
RDH54	TID1	genetic interaction with DMC1	helicase (putative)|similar to RAD54	Required for meiosis. Early meiotic induction of gene conversion is wild-type in a tid1 deletion but mature crossover products form slowly and cells block with single nuclei even though the spindle pole bodies duplicate and separate twice, as if progressing to entry into the second meiotic division.	YBR073W	S0000277
RDI1		Rho GDP dissociation inhibitor with activity toward Rho1p			YDL135C	S0002294
RDN1		an approximately 1-2 Mb region on the right arm of chr. XII consisting of 100-200 tandem copies of a 9.1 kb repeat which contains the genes for 5S, 5.8S, 25S and 18S rRNAs (represented by the RDN37, RDN25, RDN18, RDN58, and RDN5 loci)				L0001595
RDN18-1	RDN18	RNA component of ribosomal small subunit (encoded within the rDNA repeat [RDN1])	18S ribosomal RNA			S0006482
RDN18-2	RDN18	RNA component of ribosomal small subunit (encoded within the rDNA repeat [RDN1])	18S ribosomal RNA			S0006483
RDN25-1	RDN25	25S ribosomal RNA (encoded within the rDNA repeat [RDN1])	25S ribosomal RNA			S0006484
RDN25-2	RDN25	25S ribosomal RNA (encoded within the rDNA repeat [RDN1])	25S ribosomal RNA			S0006485
RDN37-1	RDN37	Primary transcript (of the RDN1 locus) that is processed into the 25S, 18S and 5.8S rRNAs (represented by the RDN25, RDN18, and RDN58  loci)				S0006486
RDN37-2	RDN37	Primary transcript (of the RDN1 locus) that is processed into the 25S, 18S and 5.8S rRNAs (represented by the RDN25, RDN18, and RDN58  loci)				S0006487
RDN5-1	RDN5	5S ribosomal RNA (The 5S rRNA is encoded within the rDNA repeat (RDN1), and is transcribed by RNA polymerase III.)	5S ribosomal RNA			S0006479
RDN5-2	RDN5	5S ribosomal RNA (The 5S rRNA is encoded within the rDNA repeat (RDN1), and is transcribed by RNA polymerase III.)	5S ribosomal RNA			S0006480
RDN5-3	RDN5	5S ribosomal RNA (The 5S rRNA is encoded within the rDNA repeat (RDN1), and is transcribed by RNA polymerase III.)	5S ribosomal RNA			S0006481
RDN58-1	RDN58	5.8S ribosomal RNA (encoded within the rDNA repeat [RDN1])	5.8S ribosomal RNA			S0006488
RDN58-2	RDN58	5.8S ribosomal RNA (encoded within the rDNA repeat [RDN1])	5.8S ribosomal RNA			S0006489
RDR1		Repressor of drug resistance		Null: resistant to cycloheximide, inability to grow on non-fermentable carbon sources, hypersensitivity to calcofluor white.	YOR380W	S0005907
RDS1		Regulator of drug sensitivity	transcriptional regulator	Null: sensitive to cycloheximide	YCR106W	S0000703
RDS2		Regulator of drug sensitivity	transcriptional regulator	Null: sensitive to ketoconazole. Other phenotypes: inability to grow on non-fermentable carbon sources, sensitivity to calcofluor white	YPL133C	S0006054
RDS3		Protein required for cell viability		Null: Sensitive to ketoconazole and cycloheximide	YPR094W	S0006298
REA1		Ribosome remodeling associated protein				S0028419
REB1	GRF2	DNA binding protein which binds sites found in genes transcribed by both RNA polymerase I and RNA polymerase II. Reb1p is required for termination of RNA polymerase I transcription.	RNA polymerase I enhancer binding protein	Null mutant is inviable	YBR049C	S0000253
REC1		Required for mitotic intragenic and intergenic recombination and for sporulation		recombination deficient		L0001602
REC102		Dispensable for mitotic recombination, DNA damage repair, axial elements & meiotic chromosome condensation; required for wild-type level of chromosome pairing seen by in situ hybridization, tripartite synaptonemal complexes	23 kDa protein containing a putative leucine zipper|meiosis specific recombination protein	Reduced meiotic recombination; inviable spores; mutant is rescued by spo13 and is epistatic to rad52	YLR329W	S0004321
REC104		meiosis-specific recombination gene, dispensable for mitotic recombination and axial elements in meiosis, required for tripartite synaptonemal complexes, meiotic recombination and spore viability; classified as an early recombination gene	meiosis-specific protein	Null mutant is viable, rec104 mutants exhibit reduced meiotic DNA recombination, executes meiosis I early; rec104 is rescued by spo13 and is epistatic to rad52 spo13	YHR157W	S0001200
REC107	MER2	meiotic recombination protein	ds break formation complex subunit	reduced meiotic recombination	YJR021C	S0003782
REC114		meiosis-specific recombination gene; dispensable for mitotic recombination and axial elements in meiosis but required for synaptonemal complexes, meiotic recombination, and spore viability; classified as an early recombination gene	early sporulation protein	reduced meiotic recombination, rec114 mutants execute meiosis I early, are rescued by spo13 and are epistatic to rad52 spo13	YMR133W	S0004740
REC4		Required for mitotic intragenic and intergenic recombination and for sporulation		Uncharacterized allele rec4-1 exhibits conditional hyporecombination.		L0004285
RED1		Required for full chr. pairing & chr. condensation seen by in situ hybridization, axial elements, stable localization of Hop1p & synaptonemal complexes; at HIS2 required for normal levels of double strand breaks	meiosis-specific protein involved in similar chromosome synapsis and chiasmata formation; localizes to chromosome cores independently of Mei4p and Spo11p; mRNA is induced in meiosis	Null mutant is viable; exhibits reduced meiotic interchromosomal crossing over; red1 is rescued by spo13 and epistatic to rad52; mek1 and hop1 are on the same pathway as red1, which is independent of the mer1 pathway by epistasis analysis; RED1 suppresses double strand break repair in dmc1 mutants	YLR263W	S0004253
REF2		RNA End Formation<br>RNA-binding protein involved in cleavage step of mRNA 3'-end formation, prior to polyadenylation		mutants grow slowly	YDR195W	S0002603
REG1	HEX2|PZF240|SPP43|SRN1	The reg1 locus encodes a gene which is involved in RNA processing and is a negative regulator of glucose-repressible genes.	Glc7p regulatory subunit	The null mutant is viable but will not grow on galactose and non-fermentalbe carbon sources. Null mutants overacumulate glycogen, grow slowly on maltose and sucrose, are intolerant of nitrogen starvation, and are larger than wild-type cells. Some mutant strains are maltose senesitive.	YDR028C	S0002435
REG2		Possible regulatory subunit for the PP1 family protein phosphatase Glc7p	Glc7p regulatory subunit	Null mutant is viable; reg1 reg2 double mutants exhibit a severe growth defect (suppressed by loss-of-function mutation in snf1); overexpression of REG2 complements slow-growth defect of a reg1 mutant but not the defects in glycogen accumulation or glucose repression	YBR050C	S0000254
REL1						L0001610
REP1		Rep1p and Rep2p act in concert to recruit the yeast cohesin complex to the STB locus.	2-micron circle protein B	Mutant exhibits defects in maintenance of 2 micron plasmids.		L0001611
REP2		Rep1p and Rep2p act in concert to recruit the yeast cohesin complex to the STB locus.	2-micron circle protein C	Mutant exhibits defects in maintenance of 2 micron plasmids.		L0001612
RER1		Protein involved in retention of membrane proteins, including Sec12p, in the ER; localized to Golgi, where it may function in returning membrane proteins to the ER		Null mutant is viable and shows mislocalization of transmembrane proteins that are normally retained in the early secretory compartments	YCL001W	S0000507
RER2		cis-prenyltransferase involved in dolichol synthesis	cis-prenyltransferase	Null mutant is viable but both heat and cold sensitive and mislocalizes several ER proteins. rer2-1 (G164D) and rer2-2 (S209N) mutant alleles exhibit similar phenotypes as the null mutant, though have less dramatic growth defects.	YBR002C	S0000206
RES1				RES1-1 is a dominant allele allowing IME1 induction and sporulation of a/a or a/a in the presence of high copy RME1		L0004286
RET1	PDS2|RPC128|RPC2	second-largest subunit of RNA polymerase III		Null mutant is inviable	YOR207C	S0005733
RET2		coatomer (COPI) complex delta subunit		ret2-1 mutant is thermosensitive and shows defects in retrieval of dilysine-tagged proteins from the Golgi back to the ER and, at the non-permissive temperature, in forward ER-to-Golgi transport	YFR051C	S0001947
RET3		vesicle coat component	vesicle coat component	ret3-1 mutant is thermosensitive and shows defects in retrieval of dilysine-tagged proteins from the Golgi back to the ER	YPL010W	S0005931
REV1		Protein required for mutagenesis by physical and chemical agents	deoxycytidyl transferase	Null mutant is viable, exhibts decreased revertibility	YOR346W	S0005873
REV3	PSO1	DNA polymerase zeta, which is unique in its ability to bypass thymine dimers during replication, is composed of Rev3p and Rev7p.	DNA polymerase zeta subunit	The null mutant is viable and resists ultraviolet (UV) mutagenesis in both haploid and homozygous mutant diploid cells. Other antimutator phenotypes are also observed.	YPL167C	S0006088
REV5				Mutant shows impairment of induced mutagenesis		L0001617
REV7		Protein required for mutagenesis by physical and chemical agents	DNA polymerase zeta (pol-zeta) subunit	Null mutant is viable	YIL139C	S0001401
REX2	YNT20	RNA exonuclease	RNA exonuclease	Null mutant is viable and shows cold-sensitive respiratory defect	YLR059C	S0004049
REX3		RNA EXonuclease; member of 3'->5' exonuclease family. See Moser et al. 1997 Nucleic acids Res. 25:5110-5118		Mutants exhibit RNase MRP RNA processing defect; functions redundantly with REX1 and REX2 in U5 snRNA and RNase P RNA processing	YLR107W	S0004097
REX4		RNA EXonuclease; member of 3'->5' exonuclease family. See Moser et al. 1997 Nucleic acids Res. 25:5110-5118			YOL080C	S0005440
RF2						S0007533
RFA1	BUF2|FUN3|RPA1	Required for DNA-damage repair, full levels of gene conversion and sporulation<br>binds URS1 and CAR1<br>RFA1, RFA2, and RFA3 make up RPA	RF-A|heterotrimeric RPA (RF-A) single-stranded DNA binding protein 69 kDa subunit	Null mutant is inviable; cells lacking RFA1 accumulate as multiply budded cells with a single nucleus suggesting a defect in DNA replication; rfa1 repair defects are suppressed by high copy RAD52	YAR007C	S0000065
RFA2	BUF1|RPA2	Involved in nucleotide excision repair<br>RFA1, RFA2, and RFA3 make up RPA	29% identical to the human p34 subunit of RF-A|replication factor RF-A subunit 2	Null mutant is inviable; arrests as budded and multiply budded cells; rfa2 (ts) cells have a mutator and a hyper-recombination phenotype and are more sensitive to hydroxyurea and methyl-methane-sulfonate than wild-type cells	YNL312W	S0005256
RFA3		RFA1, RFA2, and RFA3 make up RPA	replication factor-A subunit 3	Null mutant is inviable and arrests as budded and multiply budded cells	YJL173C	S0003709
RFC1	CDC44	RFC is a DNA binding protein and ATPase that acts as a processivity factor for DNA polymerases delta and epsilon and loads proliferating cell nuclear antigen (PCNA) on DNA	replication factor C subunit 1|similar to human RFC 140 kDa subunit	Null mutant is inviable, rfc1 conditional mutants arrest before mitosis	YOR217W	S0005743
RFC2		RFC is a DNA binding protein and ATPase that acts as a processivity factor for DNA polymerases delta and epsilon and loads proliferating cell nuclear antigen (PCNA) on DNA	replication factor C subunit 2|similar to human RFC 37 kDa subunit	Null mutant is inviable	YJR068W	S0003829
RFC3		RFC is a DNA binding protein and ATPase that acts as a processivity factor for DNA polymerases delta and epsilon and loads proliferating cell nuclear antigen (PCNA) on DNA	replication factor C subunit 3|similar to human RFC 36 kDa subunit	Null mutant is inviable	YNL290W	S0005234
RFC4		RFC is a DNA binding protein and ATPase that acts as a processivity factor for DNA polymerases delta and epsilon and loads proliferating cell nuclear antigen (PCNA) on DNA	replication factor C subunit 4|similar to human RFC 40 kDa subunit	Null mutant is inviable	YOL094C	S0005454
RFC5		RFC is a multisubunit DNA binding protein and ATPase that acts as a processivity factor for DNA polymerases delta and epsilon and loads proliferating cell nuclear antigen (PCNA) on DNA	replication factor C subunit 5|similar to human RFC 38 kDa subunit	Null mutant is inviable	YBR087W	S0000291
RFM1		Repression Factor of MSE	DNA-binding protein	Null mutant is viable, derepression of middle meiosis-specific genes; required for SUM1-1 mediated suppression of sir2 mutants	YOR279C	S0005805
RFT1		encodes a flippase that is required for translocation of Man5GlcNac2-PP-Dol from the cytoplasmic side to the lumenal side of the ER membrane	67 kDa integral membrane protein	Null mutant is inviable and is defective in cell cycle progression	YBL020W	S0000116
RFX1	CRT1	DNA binding protein, homologous to a family of mammalian RFX1-4 proteins which have a novel highly conserved DNA binding domain			YLR176C	S0004166
RGA1	DBM1|THE1	putative GTPase-activating protein for the polarity-establishment protein Cdc42p or Rho1p; activates the pheromone-response pathway	rho GTPase activating protein (GAP)	Null mutant is viable but shows increased signaling in the pheromone pathway; haploid null mutants bud predominantly in a bipolar, rather than the normal axial, manner	YOR127W	S0005653
RGA2		contains a Rho-GAP domain and two LIM domains, similar to Rga1p and all known Rho-GAPs	Rho-GTPase Activating Protein	Null mutants are viable but increase the restrictive temperature of a cdc24-4 strain and increase the constitutive activation of the pheromone response pathway in conjungtion with mutations in RGA1 and BEM3; overexpression of RGA2 causes a decrease in the restrictive temperature of a cdc42-1 strain	YDR379W	S0002787
RGD1		Related GAP Domain	GTPase activating protein (GAP) (putative)	Null mutant is viable and exhibits slightly decreased viability during late exponential and stationary phase in minimal medium	YBR260C	S0000464
RGD2		specific GTPase activating protein (RhoGAP)			YFL047W	S0001847
RGM1		Putative transcriptional repressor with proline-rich zinc fingers	transcriptional repressor with proline-rich zinc fingers (putative)	Null mutant is viable; overexpression of RGM1 greatly impairs cell growth.	YMR182C	S0004794
RGP1		Ric1p-Rgp1p is an exchange factor, and peripheral membrane protein complex restricted to the Golgi.		reduced growth	YDR137W	S0002544
RGR1		affects chromatin structure, transcriptional regulation of diverse genes and sporulation, required for glucose repression, HO repression, RME1 repression and sporulation	RNA polymerase II holoenzyme/mediator subunit|interacts with Sin4p, Gal11p, and a 50 kDa polypeptide	Null mutant is inviable, rgr1 mutants exhibit resistance to glucose represion, temperature sensitivity, sporulation; rgr1-ts allows sporulation of a/a diploids overexpressing RME1	YLR071C	S0004061
RGS1				rgs1 mutants accumulate secretory vesicles in the cytoplasm and stop the secretion of proteins at a restrictive temperature; rgs1 mutation is suppressed by SEC4; rgs1 is synthetically lethal with sec4		L0004401
RGS2		Regulator of G-protein Signalling for gpa2; belongs to the RGS protein family and acts on Gpa2	GTPase activating protein (GAP)	Null mutant is viable but exhibits high PKA phenotypes (low trehalose and glycogen levels, heat sensitivity, low expression of HSP12). Overexpression results in low PKA phenotypes and suppresses the glucose induced cAMP signal.	YOR107W	S0005633
RGT1		transcriptional repressor and activator	transcriptional activator|transcriptional repressor	Null mutant is viable, shows consitutive expression of glucose-induced HXT geness	YKL038W	S0001521
RGT2		glucose permease	glucose permease	Dominant mutant suppresses growth defect of snf3 mutants on low concentrations of glucose or fructose	YDL138W	S0002297
RHB1		rheb homologue	GTP-binding protein|Rheb|ras family	Mutant exhibits shortened lag phase, failure to arrest in stationary phase; overexpression causes delayed growth.	YCR027C	S0000622
RHC18	smc6	Protein involved in recombination repair, homologous to S. pombe rad18. Structural maintenance of chromosomes (SMC) protein.		Null mutant is inviable	YLR383W	S0004375
RHK1	ALG3	Resistance to Hansenula Killer 1, hypothetical F-458 protein	Dol-P-Man dependent alpha(1-3) mannosyltransferase (putative)	Null mutant is viable, resistant to Hansenula killer toxin	YBL082C	S0000178
RHO1		Gtp-binding protein of the rho subfamily of ras-like proteins	GTP-binding protein|rho subfamily	null is inviable; synthetic lethal with bem2	YPR165W	S0006369
RHO2		Gtp-binding protein of the rho subfamily of ras-like proteins	GTP-binding protein|rho subfamily	null is viable	YNL090W	S0005034
RHO3		ras homolog--GTP binding protein	GTP-binding protein|ras homolog	severe growth delay and decrease in cell viability	YIL118W	S0001380
RHO4		ras homolog--GTP binding protein	GTP-binding protein|ras homolog	Null mutant is viable; rho3 rho4 cells are inviable at 30 degrees C	YKR055W	S0001763
RHO5		Rho family of small GTPases	rho GTPase		YNL180C	S0005124
RHR2	GPP1	DL-glycerol-3-phosphatase	DL-glycerol-3-phosphatase	Mutants lacking RHR2 show poor anaerobic growth. Mutants lacking RHR2 and HOR2 lack glycerol 3-phosphatase activity, produce only a small amount of glycerol. Overproduction of both genes does not significantly enhance glycerol production.	YIL053W	S0001315
RIA1	EFL1	RIbosome Assembly; Elongation Factor Like	GTPase	Null: quasi essential; null mutant exhibits very slow growth. Other phenotypes: Depletion of Ria1p leads to modification of the polysome profile, with the apperance of halfmers and a reduced level of 60S subunits; defect in rRNA processing and 60S export	YNL163C	S0005107
RIB1		First step in the riboflavin biosynthesis pathway	GTP cyclohydrolase II		YBL033C	S0000129
RIB2		N-terminal part related to RNA:pseudouridine (psi)-synthases<br> C-terminal portion contains the deaminase domain implicated in Riboflavin synthesis	DRAP deaminase|pseudouridine synthase		YOL066C	S0005427
RIB3		Riboflavin biosynthesis	3,4-dihydroxy-2-butanone 4-phosphate synthase		YDR487C	S0002895
RIB4		catalyzes synthesis of immediate precursor to riboflavin, also known as Lumazine Synthase	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase)	Null mutant is viable but is a riboflavin auxotroph	YOL143C	S0005503
RIB5		Riboflavin biosynthesis		Null mutant is viable, exhibits riboflavin auxotrophy	YBR256C	S0000460
RIB7		Protein involved in the biosynthesis of riboflavin, second step in the riboflavin biosynthesis pathway			YBR153W	S0000357
RIC1		<u>Ri</u>bosome <u>C</u>ontrol<br> Ric1p binds to Rgp1p, on the Golgi, and the complex catalyses nucleotide exchange on Ypt6p.		defective in the transcription of both ribosomal protein genes and ribosomal RNA	YLR039C	S0004029
RIF1		RAP1-interacting factor, involved in establishment of repressed chromatin	RAP1-interacting factor	defective in telomeric silencing and telomere length regulation	YBR275C	S0000479
RIF2		Rap1p-Interacting Factor 2; interacts with the c-terminus of Rap1p and with Rif1p; has functional similarities with Rif1p; Rif2p and Rif1p have synergistic effects on telomere length and chromosome loss	nuclear protein	Null mutant is viable and shows increased telomere length, increased TPE and decreased silencing at HMR; overexpression causes a small decrease in telomere length; deletion of both RIF1 and RIF2 causes severe telomere elongation; deletions of RIF1 and RIF2 have similar (and synergistic) effects on silencing, increasing TPE and decreasing silencing at HMR, probably due to alterations in telomere length	YLR453C	S0004445
RIM1		Replication In Mitochondria	protein with similarity to a single stranded DNA binding protein	Null mutant is viable, lacks mitochondrial DNA	YCR028C-A	S0007222
RIM101	RIM1	Regulator of IME2 (RIM)<br>Rim101p is similar to the Aspergillus Phenotype-response regulator PacC and the Yarrowia proteinase YlRim1010p; transcriptional activator required for entry into meiosis		Poor growth at low temperature, altered colony morphology, inefficient sporulation due to reduced expression of the meiotic activator IME1, and defective invasive growth	YHL027W	S0001019
RIM11	GSK3|MDS1	Required for Ime1p phosphorylation, association of the Ime1p-Ume6p meiotic activator, early meiotic gene expression, and sporulation		Null mutant is viable; some alleles are Spo+ and sporulate slowly; rim11 is epistatic to the lethality of IME1 overexpression in haploids and permits Ime1p accumulation; RIM11 is a high copy suppressor of mck1 (cs) mutants	YMR139W	S0004747
RIM13	CPL1	Regulator of IME2 (RIM)	calpain-like protease involved in proteolytic processing of Rim1p/Rim101p|cysteine protease|similar to E. nidulans palB	Mutant shows reduced expression of IME1, defect in Rim1p C-terminal proteolytic processing, reduced sporulation, slow growth at 17 degrees, smooth colony morphology and slow growth in alkaline medium (pH8.0).	YMR154C	S0004763
RIM15	TAK1	RIM15 is glucose-repressed; RIM15 is required for IME2 expression	trehalose-associated protein kinase related to S. pombe cek1+	Null mutant is viable, demonstrates delayed sporulation, decreased sporulation efficiency, and diminished expression of early meiotic genes; rim4, rim11 and rim15 mutants can't be suppressed by overexpression of IME1	YFL033C	S0001861
RIM2		Protein of the mitochondrial carrier (MCF) family that is required for respiration		Null mutant is viable but lacks mitochondrial DNA and grows slowly on glucose	YBR192W	S0000396
RIM20		Regulator of IME2	Unknown function	Null: Affected in sporulation and invasive growth. Other phenotypes: Alkaline sensitivity	YOR275C	S0005801
RIM21	PAL2	Regulator of IME2	Unknown function	Null: Affected in sporulation and invasive growth. Other phenotypes: Alkaline sensitivity	YNL294C	S0005238
